user_id,item_id,rating,timestamp
0,269,5,881250949
0,545,1,881250949
0,593,5,881250949
1,392,5,874965758
1,274,3,876893171
1,160,4,878542960
1,505,3,876893119
1,381,3,889751712
1,545,5,887431973
1,78,4,875071561
1,340,1,875072484
1,148,5,878543541
1,567,3,875693118
1,593,2,875072262
1,488,5,878542960
1,66,5,875071805
1,657,5,874965706
1,352,5,875071608
1,528,5,878543541
1,749,3,875073198
1,213,4,887432020
1,742,5,875071515
1,522,4,887431883
1,304,1,878542772
1,218,4,875072404
1,332,4,875072895
1,63,3,875071713
1,680,4,875071805
1,31,3,875072442
1,250,2,876892946
1,257,4,875072173
1,278,1,878542869
1,340,3,878542515
1,699,3,875072144
1,406,5,888732909
1,315,4,878542699
1,284,2,878542869
1,418,1,878542420
1,584,2,875073180
1,331,2,878543030
1,497,3,878543075
1,31,4,875072173
1,16,3,876893230
1,199,2,876892818
1,173,5,876892425
1,86,4,878542869
1,235,5,878543541
1,363,5,875241687
1,662,4,876893230
1,631,4,875072125
1,695,5,875072520
1,557,3,878542478
1,48,5,874965954
1,28,4,878543275
1,537,4,875072205
1,778,3,876893206
1,189,3,878543308
1,101,5,875072688
1,589,4,875072716
1,751,5,878542459
1,597,4,878542960
1,236,5,876892817
1,221,5,875072370
1,204,4,878542420
1,598,3,878542282
1,56,2,878543196
1,692,5,875072404
1,510,4,875072125
1,591,4,878543030
1,43,3,876893054
1,145,4,875072688
1,353,3,875072262
1,334,3,875072895
1,56,3,876892425
1,572,4,878542678
1,443,3,876892774
1,646,1,889751736
1,695,4,878543238
1,600,4,878543176
1,419,4,876893205
1,399,1,878543176
1,616,4,875072865
1,772,4,876893008
1,134,5,875072865
1,407,5,878542589
1,162,3,875072370
1,151,4,875072923
1,96,3,875073180
1,412,5,878543541
1,715,5,878543541
1,542,4,878542791
1,405,5,875072484
1,388,4,878542300
1,355,5,876892636
1,732,3,876892425
1,350,5,875071484
1,778,2,875072956
1,192,4,875072303
1,35,5,875072716
1,519,3,875073128
1,103,4,875072404
1,591,3,875072547
1,271,5,878543541
1,738,2,878542845
1,508,2,889751736
1,607,1,878542845
1,371,1,875241619
1,583,2,875240739
1,587,4,875241390
1,149,4,875241619
1,34,5,875240920
1,434,5,874965739
1,514,1,878542845
1,76,5,889751711
1,382,1,878542441
1,214,5,878542738
1,630,5,875072173
1,553,5,878541637
1,772,3,878542960
1,199,3,874965739
1,107,3,875071927
1,774,5,876893098
1,361,1,875241637
1,259,4,875071823
1,779,3,875241498
1,543,4,875071541
1,673,5,875071484
1,404,3,878542960
1,588,2,875071713
1,232,5,874965706
1,593,4,875072573
